Date,Close,High,Low,Open,Volume,Peaklabel
2020-11-05,14.11770248413086,14.296167693994366,13.949207631445907,14.120195548838295,319028000,0
2020-11-06,14.518501281738281,14.545170987329914,13.853493898559273,14.067601744643962,383348000,1
2020-11-09,13.590033531188965,14.647614991238628,13.570093767264419,14.509030256532114,582976000,0
2020-11-10,12.731854438781738,13.565854896982422,12.590527533848146,13.565854896982422,644068000,-1
2020-11-11,13.377920150756836,13.394869568890236,12.909572908495479,13.014757996625594,404744000,0
2020-11-12,13.416553497314453,13.72487962042422,13.276223997600011,13.438737209686394,365812000,0
2020-11-13,13.257281303405762,13.627920750775123,13.020241418155242,13.586544621522453,346312000,0
2020-11-16,13.474881172180176,13.608729865676828,13.11670415639651,13.133154392923817,413776000,1
2020-11-17,13.382153511047363,13.55563350791239,13.26400774947467,13.51201439243992,312028000,0
2020-11-18,13.38863754272461,13.565108878568495,13.145616019171882,13.425028492178553,510924000,0
2020-11-19,13.400102615356445,13.44721126806381,13.060868971282808,13.17328222556949,565936000,0
2020-11-20,13.048656463623047,13.454191200785738,13.025973567429416,13.413812488819989,341088000,0
2020-11-23,13.100749969482422,13.342524953407496,12.976621588446433,13.13190662289563,361356000,0
2020-11-24,12.919045448303223,13.122684736284453,12.846512661677767,13.10324320348425,346500000,-1
2020-11-25,13.195216178894043,13.229862361709015,12.981108321918962,12.99357079291506,259916000,0
2020-11-27,13.221637725830078,13.367451594590154,13.131159057880085,13.335048406996174,167276000,0
2020-11-30,13.361468315124512,13.372436088526035,12.9335007576213,13.225376645687131,286952000,0
2020-12-01,13.350004196166992,13.488339823743459,13.188736554940863,13.451948872652427,296948000,0
2020-12-02,13.504042625427246,13.632657010490643,13.194719067672823,13.310621864355456,283360000,0
2020-12-03,13.359930992126465,13.623220107578893,13.293111953614648,13.55091508657304,199520000,0
2020-12-04,13.521744728088379,13.523490008590343,13.352700758204879,13.412289485185315,202244000,0
2020-12-07,13.570111274719238,13.694276313294244,13.463649179605614,13.564626244098609,223244000,1
2020-12-08,13.314056396484375,13.562136387402267,13.245740310760366,13.548423332271,271920000,0
2020-12-09,12.895933151245117,13.37788163975025,12.833601435868163,13.264687602241741,401300000,-1
2020-12-10,12.937320709228516,13.033561267536681,12.814900946198128,12.83434917065444,207764000,0
2020-12-11,12.9782133102417,12.984945242979816,12.7884751461004,12.932336681868854,209264000,0
